Model,Type,Accuracy,Precision,Recall,F1-score
Logistic Regression,Supervised,0.8615,0.18042813455657492,0.8676470588235294,0.29873417721518986
Random Forest,Supervised,0.981,0.7083333333333334,0.75,0.7285714285714285
Isolation Forest,Unsupervised,0.9365,0.21359223300970873,0.3235294117647059,0.2573099415204678
One-Class SVM,Unsupervised,0.9395,0.27350427350427353,0.47058823529411764,0.34594594594594597
DBSCAN,Unsupervised,0.9675,0.7142857142857143,0.07352941176470588,0.13333333333333333
